family_id	url_verification	representative_official_urls	notes
airline.aeroplan	existing_or_web_verified	https://www.aircanada.com/aeroplan	
airline.amex-transfer-set	existing_or_web_verified	https://www.americanexpress.com/ja-jp/point/mile-point/airline/	Derive current partner set from issuer page; create child streams only after a partner is supported.
airline.avios	existing_or_web_verified	https://www.britishairways.com/	Include BA, Qatar and other Avios transfer/bonus changes only where reachable from supported programs.
airline.cathay	existing_or_web_verified	https://www.cathaypacific.com/	
airline.delta	existing_or_web_verified	https://www.delta.com/	
airline.emirates	existing_or_web_verified	https://www.emirates.com/	
airline.flyingblue	existing_or_web_verified	https://www.flyingblue.com/	
airline.krisflyer	existing_or_web_verified	https://www.singaporeair.com/	
airline.marriott-transfer-set	existing_or_web_verified	https://www.marriott.com/loyalty/redeem/travel/points-to-miles.mi	
airline.qatar	existing_or_web_verified	https://www.qatarairways.com/	
airline.virgin	existing_or_web_verified	https://www.virginatlantic.com/	
network.amex-offers-jp	existing_or_web_verified	https://www.americanexpress.com/ja-jp/benefits/amex-offers/	
network.mastercard-jp	existing_or_web_verified	https://www.mastercard.co.jp/ja-jp/personal/offers-promotions.html	
network.visa-jp	existing_or_web_verified	https://www.visa.co.jp/ | https://www.visa.co.jp/about-visa/newsroom.html	
network.vja	existing_or_web_verified	https://www.vja.gr.jp/campaign/index.html	
portal.ana-mileage-mall	existing_or_web_verified	https://mileagemall.ana.co.jp/	
portal.card-malls	existing_or_web_verified	https://tamaru.eposcard.co.jp/ | https://pointmall.aeon.co.jp/ | https://storee.saisoncard.co.jp/	
portal.chobirich	existing_or_web_verified	https://www.chobirich.com/	
portal.ecnavi	existing_or_web_verified	https://ecnavi.jp/	
portal.jal-mileage-park	existing_or_web_verified	https://partner.jal.co.jp/	
portal.pointincome	existing_or_web_verified	https://pointi.jp/	
portal.pointtown	existing_or_web_verified	https://www.pointtown.com/	
portal.powl	existing_or_web_verified	https://web.powl.jp/	
card.amazon	existing_or_web_verified	https://www.amazon.co.jp/ | https://www.smbc-card.com/	
card.amex-jp	existing_or_web_verified	https://www.americanexpress.com/ja-jp/point/	
card.ana	existing_or_web_verified	https://www.ana.co.jp/ja/jp/amc/anacard/	
card.diners-jp	existing_or_web_verified	https://www.diners.co.jp/	
card.jal	existing_or_web_verified	https://www.jalcard.co.jp/	
card.mi	existing_or_web_verified	https://www2.micard.co.jp/	
card.recruit	existing_or_web_verified	https://recruit-card.jp/	
card.tscubic	existing_or_web_verified	https://tscubic.com/	
discovery.jp.card-comparison	candidate_to_verify	https://kakaku.com/card/ | https://www.poitan.net/ | https://poikaku.com/	Discovery and anomaly detection only; every fact must be traced to issuer or program terms.
discovery.jp.travel-loyalty	candidate_to_verify	https://www.traicy.com/ | https://www.flyertalk.com/	Discovery only; use official airline, hotel, card, or transfer-program pages as canonical evidence.
transit.jrkyushu	candidate_to_verify	https://www.jrkyushu.co.jp/jrkyupo/ | https://www.jrkyushu.co.jp/sugoca/ | https://www.jrkyushu.co.jp/jq/	Onboard when Kyushu coverage is exposed.
transit.keikyu	candidate_to_verify	https://www.keikyu-point.jp/	Tokyo transit expansion.
transit.keio	candidate_to_verify	https://www.keio-passport.co.jp/	Tokyo transit expansion.
