family_id	category	provider_or_scope	current_registry_status	scope	agent_feed_stream	recommended_cadence
airline.ana	airline_program	ANA Mileage Club	covered	Japan	miles.ana-japan	daily
airline.jal	airline_program	JAL Mileage Bank	covered	Japan	miles.jal-japan	daily
network.jcb-jp	card_network	JCB network campaigns and contactless	partial	Japan	network.jcb-offers	daily
portal.dotmoney	cashback_portal	DotMoney	missing	Japan	portal.jp-exchange	6h
portal.gpoint	cashback_portal	G-Point	missing	Japan	portal.jp-exchange	6h
portal.hapitas	cashback_portal	Hapitas	covered	Japan	portal.jp-major	6h
portal.moppy	cashback_portal	Moppy	covered	Japan	portal.jp-major	6h
portal.pex	cashback_portal	PeX exchange hub	missing	Japan	portal.jp-exchange	6h
portal.rakuten-rebates	cashback_portal	Rakuten Rebates	covered	Japan	portal.jp-major	6h
card.epos	credit_card_issuer	EPOS cards	missing	Japan	issuer.epos	daily
card.jaccs	credit_card_issuer	JACCS cards	missing	Japan	issuer.jaccs	daily
card.jcb	credit_card_issuer	JCB original-series cards	missing	Japan	issuer.jcb-jpoint	daily
card.life	credit_card_issuer	Life Card / V Preca funding	missing	Japan	issuer.life	daily
card.mercard	credit_card_issuer	Mercard	missing	Japan	wallet.merpay	daily
card.mufg	credit_card_issuer	MUFG/DC/NICOS cards	missing	Japan	issuer.mufg	daily
card.orico	credit_card_issuer	Orico cards	missing	Japan	issuer.orico	daily
card.saison-uc	credit_card_issuer	Saison / UC cards	missing	Japan	issuer.saison-uc	daily
card.seven	credit_card_issuer	Seven Card Plus	missing	Japan	economy.seven-nanaco	daily
discovery.jp.market-research	discovery	MMD/NRI cashless and points-market research	missing	Japan	discovery.jp.market	weekly
discovery.jp.municipal-cashless	discovery	Municipal cashless campaign notices	missing	Japan	discovery.jp.local-campaigns	daily
discovery.jp.payment-news	discovery	Payments/loyalty trade press	missing	Japan	discovery.jp.payments	daily
contactless.id	e_money_transit	iD	missing	Japan	contactless.quicpay-id	daily
contactless.quicpay	e_money_transit	QUICPay / QUICPay+	missing	Japan	contactless.quicpay-id	daily
emoney.rakuten-edy	e_money_transit	Rakuten Edy	missing	Japan	economy.rakuten	daily
transit.icoca	e_money_transit	ICOCA / WESTER / J-WEST	missing	Japan	transit.icoca-wester-jwest	daily
transit.pasmo	e_money_transit	PASMO / Mobile PASMO / private-rail autocharge	missing	Japan	transit.pasmo-private-rail	daily
merchant.apollostation	merchant	apollostation	partial	Japan	merchant.jp-fuel	daily
merchant.daily-yamazaki	merchant	Daily Yamazaki	missing	Japan	merchant.jp-convenience	daily
merchant.donki	merchant	Don Quijote / majica	missing	Japan	merchant.jp-general-retail	daily
merchant.doutor	merchant	Doutor	covered	Japan	merchant.jp-food	daily
merchant.edion	merchant	Edion	missing	Japan	merchant.jp-electronics	daily
merchant.eneos	merchant	ENEOS	missing	Japan	merchant.jp-fuel	daily
merchant.joshin	merchant	Joshin	missing	Japan	merchant.jp-electronics	daily
merchant.kfc	merchant	KFC Japan	missing	Japan	merchant.jp-food	daily
merchant.kurasushi	merchant	Kura Sushi	missing	Japan	merchant.jp-food	daily
merchant.life-supermarket	merchant	Life supermarket	missing	Japan	merchant.jp-supermarket	daily
merchant.lumine	merchant	Lumine	missing	Japan	transit.jre-suica-view	daily
merchant.maruetsu	merchant	Maruetsu	missing	Japan	merchant.jp-supermarket	daily
merchant.marui	merchant	Marui/Modi	partial	Japan	issuer.epos	daily
merchant.matsuya	merchant	Matsuya Foods	missing	Japan	merchant.jp-food	daily
merchant.mercari	merchant	Mercari	partial	Japan	wallet.merpay	daily
merchant.mos	merchant	MOS Burger	missing	Japan	merchant.jp-food	daily
merchant.nojima	merchant	Nojima	missing	Japan	merchant.jp-electronics	daily
merchant.ok-store	merchant	OK Store	missing	Japan	merchant.jp-supermarket	daily
merchant.saizeriya	merchant	Saizeriya	missing	Japan	merchant.jp-food	daily
merchant.seiyu	merchant	Seiyu	missing	Japan	merchant.jp-supermarket	daily
merchant.skylark	merchant	Skylark group	missing	Japan	merchant.jp-food	daily
merchant.sugi	merchant	Sugi Pharmacy	missing	Japan	merchant.jp-drugstore	daily
merchant.sukiya	merchant	Sukiya / Zensho	missing	Japan	merchant.jp-food	daily
merchant.summit	merchant	Summit	missing	Japan	merchant.jp-supermarket	daily
merchant.sundrug	merchant	Sundrug	missing	Japan	merchant.jp-drugstore	daily
merchant.sushiro	merchant	Sushiro	missing	Japan	merchant.jp-food	daily
merchant.tokyu-store	merchant	Tokyu Store	missing	Japan	merchant.jp-supermarket	daily
merchant.tsuruha	merchant	Tsuruha	missing	Japan	merchant.jp-drugstore	daily
merchant.tullys	merchant	Tully’s	missing	Japan	merchant.jp-food	daily
merchant.yamada	merchant	Yamada Denki/LABI	missing	Japan	merchant.jp-electronics	daily
merchant.yoshinoya	merchant	Yoshinoya	missing	Japan	merchant.jp-food	daily
merchant.zozo	merchant	ZOZOTOWN	covered	Japan	merchant.jp-ecommerce	daily
interface.apple-pay-jp	payment_interface	Apple Pay in Japan	partial	Japan	interface.mobile-wallets	daily
interface.google-wallet-jp	payment_interface	Google Wallet / Google Pay in Japan	partial	Japan	interface.mobile-wallets	daily
wallet.bankpay	payment_wallet	Bank Pay	missing	Japan	wallet.jcoin-bankpay	6h
wallet.jcoin	payment_wallet	J-Coin Pay	missing	Japan	wallet.jcoin-bankpay	6h
wallet.merpay	payment_wallet	Merpay	missing	Japan	wallet.merpay	6h
wallet.vpoint-pay	payment_wallet	V Point Pay	missing	Japan	economy.vpoint-smbc	daily
point.epos	point_program	EPOS Points	missing	Japan	issuer.epos	daily
point.famima	point_program	Famima Points / FamiPay campaign rewards	partial	Japan	wallet.famipay	daily
point.jaccs	point_program	JACCS Lovely Points / J-Depo	missing	Japan	issuer.jaccs	daily
point.jcb-jpoint	point_program	J-POINT	missing	Japan	issuer.jcb-jpoint	daily
point.life	point_program	LIFE Thanks Points	missing	Japan	issuer.life	daily
point.mercari	point_program	Mercari Points	missing	Japan	wallet.merpay	daily
point.mufg-global	point_program	MUFG Global Points	missing	Japan	issuer.mufg	daily
point.orico	point_program	Orico Points / Smile	missing	Japan	issuer.orico	daily
point.saison	point_program	Saison Permanent Points / UC Points	missing	Japan	issuer.saison-uc	daily
