family_id	url_verification	representative_official_urls	notes
airline.ana	existing_or_web_verified	https://www.ana.co.jp/ja/jp/amc/ | https://www.ana.co.jp/en/jp/shoppingandlife/point/	
airline.jal	existing_or_web_verified	https://www.jal.co.jp/ja-jp/jalmile/ | https://www.jal.co.jp/ja-jp/campaign/mileage.html	
network.jcb-jp	existing_or_web_verified	https://www.jcb.co.jp/campaign/ | https://www.jcb.co.jp/ordercard/add/quicpay/	
portal.dotmoney	existing_or_web_verified	https://d-money.jp/	
portal.gpoint	existing_or_web_verified	https://www.gpoint.co.jp/	
portal.hapitas	existing_or_web_verified	https://hapitas.jp/	
portal.moppy	existing_or_web_verified	https://pc.moppy.jp/	
portal.pex	existing_or_web_verified	https://pex.jp/ | https://pex.jp/exchange	
portal.rakuten-rebates	existing_or_web_verified	https://www.rebates.jp/	
card.epos	existing_or_web_verified	https://www.eposcard.co.jp/	
card.jaccs	existing_or_web_verified	https://www.jaccs.co.jp/	
card.jcb	existing_or_web_verified	https://www.jcb.co.jp/	
card.life	existing_or_web_verified	https://www.lifecard.co.jp/ | https://vpc.lifecard.co.jp/	
card.mercard	candidate_to_verify	https://www.mercard.com/	Card reward and marketplace-specific overlay.
card.mufg	existing_or_web_verified	https://www.cr.mufg.jp/	
card.orico	existing_or_web_verified	https://www.orico.co.jp/	
card.saison-uc	existing_or_web_verified	https://www.saisoncard.co.jp/	
card.seven	existing_or_web_verified	https://www.7card.co.jp/	
discovery.jp.market-research	existing_or_web_verified	https://mmdlabo.jp/ | https://www.nri.com/jp/	Discovery/prioritization only; never canonical reward evidence.
discovery.jp.municipal-cashless	candidate_to_verify	https://www.soumu.go.jp/	Dynamic family: wallet campaign directories identify municipalities; onboard each municipality official notice as co-authority.
discovery.jp.payment-news	candidate_to_verify	https://www.watch.impress.co.jp/ | https://paymentnavi.com/ | https://www.traicy.com/	Use only to discover changes and locate official sources.
contactless.id	existing_or_web_verified	https://id-credit.com/	
contactless.quicpay	existing_or_web_verified	https://www.quicpay.jp/ | https://www.quicpay.jp/campaign/	
emoney.rakuten-edy	existing_or_web_verified	https://edy.rakuten.co.jp/	
transit.icoca	existing_or_web_verified	https://wester.jr-odekake.net/	
transit.pasmo	existing_or_web_verified	https://www.pasmo.co.jp/ | https://www.pasmo.co.jp/charge/autocharge/application/	
merchant.apollostation	existing_registry	https://www.idemitsu.com/jp/apollostation/	Exact payment/loyalty/campaign role pages must be captured before the merchant is marked supported.
merchant.daily-yamazaki	candidate_to_verify	https://www.daily-yamazaki.jp/	Exact payment/loyalty/campaign role pages must be captured before the merchant is marked supported.
merchant.donki	candidate_to_verify	https://www.donki.com/	Exact payment/loyalty/campaign role pages must be captured before the merchant is marked supported.
